"","id","name","parameters_id","datetime_first_utc","datetime_first_local","datetime_last_utc","datetime_last_local","min","max","avg","expected_count","expected_interval","observed_count","observed_interval","percent_complete","percent_coverage","latest_value","latest_datetime","latest_latitude","latest_longitude"
"1100",8613680,"pm25 µg/m³",2,2024-03-18 07:00:00,2024-03-18 08:00:00,2025-08-28 20:00:00,2025-08-28 22:00:00,-1,288,4.34021871202916,1,"01:00:00",3110,"3110:00:00",311000,311000,3,2025-08-28 20:00:00,39.5768999998248,-3.86519999987279
"1101",7776477,"pm10 µg/m³",1,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30 02:00:00,2025-08-30 04:00:00,-1,757,23.2151253918495,1,"01:00:00",4686,"4686:00:00",468600,468600,20,2025-08-30 02:00:00,38.9808000002966,-1.84519999989446
"1102",7776998,"pm25 µg/m³",2,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30 02:00:00,2025-08-30 04:00:00,-3,371,6.55391776570985,1,"01:00:00",4770,"4770:00:00",477000,477000,4,2025-08-30 02:00:00,38.9808000002966,-1.84519999989446
"1103",7776970,"pm25 µg/m³",2,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30,2025-08-30 02:00:00,-1,393,10.5829244357213,1,"01:00:00",3761,"3761:00:00",376100,376100,6,2025-08-30,38.6790999999795,-4.10780000017419
"1104",7777030,"pm10 µg/m³",1,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-29 20:00:00,2025-08-29 22:00:00,-1,947,19.750904159132,1,"01:00:00",3666,"3666:00:00",366600,366600,32,2025-08-29 20:00:00,39.963799999717,-4.82569999981045
"1105",11857179,"pm25 µg/m³",2,2024-12-29 11:00:00,2024-12-29 12:00:00,2025-08-30 05:00:00,2025-08-30 07:00:00,1,383,21,1,"01:00:00",4279,"4279:00:00",427900,427900,5,2025-08-30 05:00:00,42.5506999999025,-6.60359999997789
"1106",7774835,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,401,19.5644599303136,1,"01:00:00",7897,"7897:00:00",789700,789700,9,2025-08-30 05:00:00,42.5506999999025,-6.60359999997789
"1107",7772706,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 15:00:00,2025-08-29 17:00:00,-1,286,9.3631815907954,1,"01:00:00",3741,"3741:00:00",374100,374100,57,2025-08-29 15:00:00,42.0796999997009,-5.44890000014851
"1108",11857168,"pm25 µg/m³",2,2024-12-29 06:00:00,2024-12-29 07:00:00,2025-08-30 04:00:00,2025-08-30 06:00:00,1,395,21,1,"01:00:00",4311,"4311:00:00",431100,431100,4,2025-08-30 04:00:00,42.5506999999025,-6.60359999997789
"1109",7776585,"pm10 µg/m³",1,2024-01-29 01:00:00,2024-01-29 02:00:00,2025-08-30 04:00:00,2025-08-30 06:00:00,-1,417,20.4894657637321,1,"01:00:00",8566,"8566:00:00",856600,856600,8,2025-08-30 04:00:00,42.5506999999025,-6.60359999997789
"1110",7787507,"pm10 µg/m³",1,2024-01-30 04:00:00,2024-01-30 05:00:00,2025-08-29 20:00:00,2025-08-29 22:00:00,-1,222,11.3827098078868,1,"01:00:00",3679,"3679:00:00",367900,367900,20,2025-08-29 20:00:00,42.0796999997009,-5.44890000014851
"1111",7775525,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,168,7.06173399909215,1,"01:00:00",8346,"8346:00:00",834600,834600,5,2025-08-30 05:00:00,41.1024300001298,1.14954999962803
"1112",7774178,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,190,14.565335753176,1,"01:00:00",8395,"8395:00:00",839500,839500,21,2025-08-30 05:00:00,41.1024300001298,1.14954999962803
"1113",7775818,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-30 05:00:00,2025-08-30 07:00:00,-1,245,18.5427385892116,1,"01:00:00",8579,"8579:00:00",857900,857900,12,2025-08-30 05:00:00,41.4756000001902,1.92320000005728
